date,taiex_close,margin_financing_twd,margin_financing_trillion_twd,foreign_net_buy_twd,foreign_net_buy_100m_twd,usdtwd,taiex_ratio,usdtwd_ratio
2014-10-28,8773.5498046875,199594156000.0,0.199594156,12238007314.0,122.38007314,29.555999755859375,101.86948060496361,101.41367234715474
2014-10-29,8903.6796875,198685011000.0,0.198685011,10062463022.0,100.62463022,29.523000717163086,103.38041561626447,101.3004447884269
2014-10-30,8888.0703125,199394307000.0,0.199394307,6407176686.0,64.07176686,29.81399917602539,103.19917552995774,102.29892978654436
2014-10-31,8974.759765625,199156223000.0,0.199156223,8108077491.0,81.08077491,29.652999877929688,104.2057247330014,101.74650286138298
2014-11-03,9004.8603515625,198985879000.0,0.198985879,7252719784.0,72.52719784,29.791000366210938,104.55522192896191,102.2200153941312
2014-11-04,8989.1796875,199287658000.0,0.199287658,7048108936.0,70.48108936,30.468000411987305,104.37315410702577,104.54296374263907
2014-11-05,8962.599609375,200148693000.0,0.200148693,2580359378.0,25.80359378,29.618000030517578,104.06453344454472,101.6264100515653
2014-11-06,8891.01953125,199929788000.0,0.199929788,3817571419.0,38.17571419,29.774999618530273,103.23341883955774,102.16511301911426
2014-11-07,8912.6201171875,199855918000.0,0.199855918,1793081918.0,17.93081918,30.11400032043457,103.48422273526711,103.32830514228249
2014-11-10,9049.98046875,199287369000.0,0.199287369,15861175122.0,158.61175122,29.677000045776367,105.07911054930918,101.82885315162473
2014-11-11,9034.1396484375,199445842000.0,0.199445842,5180998364.0,51.80998364,29.89900016784668,104.89518315691792,102.59058842793539
2014-11-12,8918.9501953125,200178953000.0,0.200178953,-3817382161.0,-38.17382161,29.636999130249023,103.5577211236205,101.69160048636607
2014-11-13,8980.669921875,199707717000.0,0.199707717,3860456661.0,38.60456661,29.844999313354492,104.27434741833225,102.40529863874963
